Fechas,Pressure_Max
2017-07-04 00:00:00,958.73249999999996
2017-07-05 00:00:00,957.7998
2017-07-06 00:00:00,958.01139999999998
2017-07-07 00:00:00,956.0652
2017-07-08 00:00:00,956.76400000000001
2017-07-09 00:00:00,957.45830000000001
2017-07-10 00:00:00,954.86339999999996
2017-07-11 00:00:00,950.94539999999995
2017-07-12 00:00:00,954.15689999999995
2017-07-13 00:00:00,958.40809999999999
2017-07-14 00:00:00,957.46860000000004
2017-07-15 00:00:00,961.80709999999999
2017-07-16 00:00:00,964.03549999999996
2017-07-17 00:00:00,960.06320000000005
2017-07-18 00:00:00,956.02560000000005
2017-07-19 00:00:00,955.93619999999999
2017-07-20 00:00:00,953.84550000000002
2017-07-21 00:00:00,951.85889999999995
2017-07-22 00:00:00,955.75850000000003
2017-07-23 00:00:00,956.82060000000001
2017-07-24 00:00:00,956.78380000000004
2017-07-25 00:00:00,956.17759999999998
2017-07-26 00:00:00,954.51760000000002
2017-07-27 00:00:00,953.54520000000002
2017-07-28 00:00:00,955.93370000000004
2017-07-29 00:00:00,955.59979999999996
2017-07-30 00:00:00,955.51840000000004
2017-07-31 00:00:00,951.81389999999999
2017-08-01 00:00:00,960.01400000000001
2017-08-02 00:00:00,959.98429999999996
2017-08-03 00:00:00,954.86210000000005
2017-08-04 00:00:00,955.33529999999996
2017-08-05 00:00:00,955.73130000000003
2017-08-06 00:00:00,955.65260000000001
2017-08-07 00:00:00,957.16700000000003
2017-08-08 00:00:00,955.53420000000006
2017-08-09 00:00:00,952.63250000000005
2017-08-10 00:00:00,952.96479999999997
2017-08-11 00:00:00,957.10109999999997
2017-08-12 00:00:00,962.06330000000003
2017-08-13 00:00:00,961.59540000000004
2017-08-14 00:00:00,957.6268
2017-08-15 00:00:00,957.72640000000001
2017-08-16 00:00:00,955.19420000000002
2017-08-17 00:00:00,955.06410000000005
2017-08-18 00:00:00,956.25469999999996
2017-08-19 00:00:00,960.35720000000003
2017-08-20 00:00:00,960.09410000000003
2017-08-21 00:00:00,951.58010000000002
2017-08-22 00:00:00,953.59670000000006
2017-08-23 00:00:00,954.71690000000001
2017-08-24 00:00:00,952.53219999999999
2017-08-25 00:00:00,956.57140000000004
2017-08-26 00:00:00,955.6893
2017-08-27 00:00:00,953.72180000000003
2017-08-28 00:00:00,958.50879999999995
2017-08-29 00:00:00,962.67899999999997
2017-08-30 00:00:00,954.97360000000003
2017-08-31 00:00:00,951.27200000000005
2017-09-01 00:00:00,955.77760000000001
2017-09-02 00:00:00,955.12869999999998
2017-09-03 00:00:00,961.12339999999995
2017-09-04 00:00:00,960.8741
2017-09-05 00:00:00,955.62819999999999
2017-09-06 00:00:00,953.76419999999996
2017-09-07 00:00:00,954.09720000000004
2017-09-08 00:00:00,953.61300000000006
2017-09-09 00:00:00,954.13379999999995
2017-09-10 00:00:00,960.98209999999995
2017-09-11 00:00:00,957.79269999999997
2017-09-12 00:00:00,956.41459999999995
2017-09-13 00:00:00,961.52589999999998
2017-09-14 00:00:00,961.32280000000003
2017-09-15 00:00:00,957.87540000000001
2017-09-16 00:00:00,953.20029999999997
2017-09-17 00:00:00,950.76760000000002
2017-09-18 00:00:00,951.82830000000001
2017-09-19 00:00:00,958.0829
2017-09-20 00:00:00,959.1259
2017-09-21 00:00:00,957.10379999999998
2017-09-22 00:00:00,954.99770000000001
2017-09-23 00:00:00,953.03880000000004
2017-09-24 00:00:00,956.13440000000003
2017-09-25 00:00:00,955.63459999999998
2017-09-26 00:00:00,952.92830000000004
2017-09-27 00:00:00,950.23469999999998
2017-09-28 00:00:00,953.6259
2017-09-29 00:00:00,953.96889999999996
2017-09-30 00:00:00,953.76760000000002
2017-10-01 00:00:00,956.70780000000002
2017-10-02 00:00:00,955.851
2017-10-03 00:00:00,954.92169999999999
2017-10-04 00:00:00,953.74590000000001
2017-10-05 00:00:00,957.07640000000004
2017-10-06 00:00:00,956.4239
2017-10-07 00:00:00,957.0625
2017-10-08 00:00:00,956.78110000000004
2017-10-09 00:00:00,954.48140000000001
2017-10-10 00:00:00,953.32539999999995
2017-10-11 00:00:00,954.29790000000003
2017-10-12 00:00:00,956.54930000000002
2017-10-13 00:00:00,956.4692
2017-10-14 00:00:00,951.22320000000002
2017-10-15 00:00:00,947.55539999999996
2017-10-16 00:00:00,953.68830000000003
2017-10-17 00:00:00,953.09569999999997
2017-10-18 00:00:00,955.51340000000005
2017-10-19 00:00:00,953.15570000000002
2017-10-20 00:00:00,953.24379999999996
2017-10-21 00:00:00,953.26149999999996
2017-10-22 00:00:00,952.19129999999996
2017-10-23 00:00:00,954.44349999999997
2017-10-24 00:00:00,953.18799999999999
2017-10-25 00:00:00,951.76059999999995
2017-10-26 00:00:00,954.41060000000004
2017-10-27 00:00:00,953.63879999999995
2017-10-28 00:00:00,954.6277
2017-10-29 00:00:00,956.51649999999995
2017-10-30 00:00:00,955.80870000000004
2017-10-31 00:00:00,953.0136
2017-11-01 00:00:00,951.80889999999999
2017-11-02 00:00:00,955.19200000000001
2017-11-03 00:00:00,953.84550000000002
2017-11-04 00:00:00,952.90589999999997
2017-11-05 00:00:00,952.82719999999995
2017-11-06 00:00:00,952.00689999999997
2017-11-07 00:00:00,952.40830000000005
2017-11-08 00:00:00,952.17370000000005
2017-11-09 00:00:00,953.91740000000004
2017-11-10 00:00:00,950.68349999999998
2017-11-11 00:00:00,947.56349999999998
2017-11-12 00:00:00,948.54660000000001
